rank,title,year,rating
1936,Modern Times,1h 27m,8.5 (284K)
1954,Rear Window,1h 52m,8.5 (567K)
1968,Once Upon a Time in the West,2h 25m,PG-13
1931,City Lights,1h 27m,8.5 (216K)
1979,Apocalypse Now,2h 27m,8.4 (767K)
2008,WALL·E,1h 38m,8.4 (1.3M)
2000,Memento,1h 53m,8.4 (1.4M)
2024,Dune: Part Two,2h 46m,PG-13
1981,Raiders of the Lost Ark,1h 55m,8.4 (1.1M)
2018,Avengers: Infinity War,2h 29m,PG-13
2006,The Lives of Others,2h 17m,8.4 (442K)
2018,Spider-Man: Into the Spider-Verse,1h 57m,8.4 (781K)
1950,Sunset Boulevard,1h 50m,8.4 (260K)
1957,Witness for the Prosecution,1h 56m,8.4 (161K)
1957,Paths of Glory,1h 28m,8.4 (238K)
1980,The Shining,2h 26m,8.4 (1.2M)
1940,The Great Dictator,2h 5m,8.4 (259K)
2009,Inglourious Basterds,2h 33m,8.4 (1.8M)
12th Fail,,2023,2h 27m
1986,Aliens,2h 17m,8.4 (837K)
1963,High and Low,2h 23m,8.4 (71K)
1997,Good Will Hunting,2h 6m,8.4 (1.2M)
2019,Avengers: Endgame,3h 1m,PG-13
2012,The Dark Knight Rises,2h 44m,PG-13
2017,Coco,1h 45m,8.4 (700K)
1984,Amadeus,2h 40m,8.4 (466K)
1995,Toy Story,1h 21m,8.3 (1.2M)
2016,Your Name.,1h 46m,8.4 (388K)
1981,Das Boot,2h 29m,8.3 (287K)
2003,Oldboy,2h,8.3 (713K)
1995,Braveheart,2h 58m,8.3 (1.2M)
1997,Princess Mononoke,2h 13m,PG-13
1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1h 35m,8.3 (550K)
3 Idiots,,2009,2h 50m
1999,American Beauty,2h 2m,8.3 (1.3M)
2018,Capernaum,2h 6m,8.4 (123K)
1952,Singin' in the Rain,1h 43m,8.3 (281K)
2019,Joker,2h 2m,8.3 (1.7M)
1984,Once Upon a Time in America,3h 49m,8.3 (407K)
1985,Come and See,2h 22m,8.3 (121K)
1983,Star Wars: Episode VI - Return of the Jedi,2h 11m,8.3 (1.2M)
2000,Requiem for a Dream,1h 42m,NC-17
Toy Story 3,,2010,1h 43m
1952,Ikiru,2h 23m,8.3 (102K)
2012,The Hunt,1h 55m,8.3 (407K)
2010,Incendies,2h 11m,8.3 (248K)
2004,Eternal Sunshine of the Spotless Mind,1h 48m,8.3 (1.2M)
1960,The Apartment,2h 5m,8.3 (218K)
1962,Lawrence of Arabia,3h 47m,8.3 (340K)
1995,Heat,2h 50m,8.3 (797K)
2001: A Space Odyssey,,1968,2h 29m
1992,Reservoir Dogs,1h 39m,8.3 (1.2M)
1983,Scarface,2h 50m,8.3 (1M)
1944,Double Indemnity,1h 47m,8.3 (181K)
2009,,1h 36m,8.3 (1.2M)
1959,North by Northwest,2h 16m,8.3 (369K)
2007,Taare Zameen Par,2h 42m,8.3 (231K)
1987,Full Metal Jacket,1h 56m,8.2 (847K)
1931,,1h 39m,8.3 (182K)
1941,Citizen Kane,1h 59m,8.2 (492K)
2001,Amélie,2h 2m,8.3 (837K)
1958,Vertigo,2h 8m,8.2 (458K)
2011,A Separation,2h 3m,PG-13
1988,Die Hard,2h 12m,8.2 (1M)
1962,To Kill a Mockingbird,2h 9m,8.2 (351K)
1989,Indiana Jones and the Last Crusade,2h 7m,PG-13
1973,The Sting,2h 9m,8.2 (299K)
1971,A Clockwork Orange,2h 16m,8.2 (934K)
1927,Metropolis,2h 33m,8.2 (200K)
1917,,2019,1h 59m
2000,Snatch,1h 42m,8.2 (973K)
1997,L.A. Confidential,2h 18m,8.2 (657K)
2004,Downfall,2h 36m,8.2 (399K)
2013,The Wolf of Wall Street,3h,8.2 (1.8M)
2016,Dangal,2h 41m,8.3 (241K)
1998,The Truman Show,1h 43m,8.2 (1.4M)
1948,Bicycle Thieves,1h 29m,8.2 (192K)
2023,Oppenheimer,3h,8.2 (1M)
2018,Green Book,2h 10m,PG-13
2010,Shutter Island,2h 18m,8.2 (1.6M)
1961,Judgment at Nuremberg,2h 59m,8.3 (96K)
2005,Batman Begins,2h 20m,PG-13
2020,Hamilton,2h 40m,PG-13
1965,For a Few Dollars More,2h 12m,8.2 (299K)
1976,Taxi Driver,1h 54m,8.2 (1M)
1993,Jurassic Park,2h 7m,PG-13
1959,Some Like It Hot,2h 1m,8.2 (304K)
2007,There Will Be Blood,2h 38m,8.2 (704K)
2020,The Father,1h 37m,PG-13
1921,The Kid,1h 8m,8.2 (145K)
1950,All About Eve,2h 18m,8.2 (149K)
1999,The Sixth Sense,1h 47m,PG-13
1985,Ran,2h 40m,8.2 (151K)
1995,Casino,2h 58m,8.2 (616K)
2007,No Country for Old Men,2h 2m,8.2 (1.2M)
1982,The Thing,1h 49m,8.2 (523K)
2022,Top Gun: Maverick,2h 10m,PG-13
2013,Prisoners,2h 33m,8.2 (926K)
Kill Bill: Vol. 1,,2003,1h 51m
2006,Pan's Labyrinth,1h 58m,8.2 (744K)
1992,Unforgiven,2h 10m,8.2 (467K)
2001,A Beautiful Mind,2h 15m,PG-13
"Releases Apr 24, 2026",I Swear,2h,8.4 (26K)
1948,The Treasure of the Sierra Madre,2h 6m,8.2 (141K)
2004,Howl's Moving Castle,1h 59m,8.2 (508K)
2003,Finding Nemo,1h 40m,8.2 (1.2M)
2019,Klaus,1h 36m,8.2 (235K)
1961,Yojimbo,1h 50m,8.2 (142K)
1963,The Great Escape,2h 52m,8.2 (276K)
1980,The Elephant Man,2h 4m,8.2 (281K)
1975,Monty Python and the Holy Grail,1h 31m,8.2 (602K)
1954,Dial M for Murder,1h 45m,8.1 (204K)
2003,The Best of Youth,6h 14m,8.4 (28K)
2025,Demon Slayer: Kimetsu No Yaiba Infinity Castle,2h 35m,8.4 (67K)
2009,The Secret in Their Eyes,2h 9m,8.2 (241K)
1939,Gone with the Wind,3h 58m,8.2 (355K)
1974,Chinatown,2h 10m,8.1 (376K)
1998,"Lock, Stock and Two Smoking Barrels",1h 47m,8.1 (648K)
2005,V for Vendetta,2h 12m,8.1 (1.2M)
2002,Catch Me If You Can,2h 21m,PG-13
2015,Inside Out,1h 35m,8.1 (908K)
1950,Rashomon,1h 28m,8.1 (196K)
2017,"Three Billboards Outside Ebbing, Missouri",1h 55m,8.1 (604K)
1996,Trainspotting,1h 33m,8.1 (767K)
1957,The Bridge on the River Kwai,2h 41m,8.1 (248K)
2011,Harry Potter and the Deathly Hallows: Part 2,2h 10m,PG-13
1989,Dead Poets Society,2h 8m,8.1 (646K)
2024,The Wild Robot,1h 42m,8.2 (218K)
1975,The Chaos Class Failed the Class,1h 35m,8.5 (30K)
2011,Warrior,2h 20m,PG-13
1975,Barry Lyndon,3h 5m,8.1 (203K)
1996,Fargo,1h 38m,8.1 (784K)
1959,Ben-Hur,3h 32m,8.1 (270K)
1980,Raging Bull,2h 9m,8.1 (409K)
2004,Million Dollar Baby,2h 12m,PG-13
2015,Mad Max: Fury Road,2h,8.1 (1.2M)
1997,Children of Heaven,1h 29m,8.2 (89K)
2016,Hacksaw Ridge,2h 19m,8.1 (675K)
1988,My Neighbor Totoro,1h 26m,8.1 (428K)
2008,Gran Torino,1h 56m,8.1 (859K)
2007,Ratatouille,1h 51m,8.1 (936K)
12 Years a Slave,,2013,2h 14m
2014,The Grand Budapest Hotel,1h 39m,8.1 (964K)
1995,Before Sunrise,1h 41m,8.1 (375K)
2003,Memories of Murder,2h 11m,8.1 (263K)
1982,Blade Runner,1h 57m,8.1 (878K)
2010,How to Train Your Dragon,1h 38m,8.1 (888K)
2021,Spider-Man: No Way Home,2h 28m,PG-13
2014,Gone Girl,2h 29m,8.1 (1.2M)
2001,"Monsters, Inc.",1h 32m,8.1 (1.1M)
1975,Jaws,2h 4m,8.1 (733K)
1993,In the Name of the Father,2h 13m,8.1 (202K)
2019,Ford v Ferrari,2h 32m,PG-13
2014,Wild Tales,2h 2m,8.1 (237K)
1925,The Gold Rush,1h 35m,8.1 (128K)
1924,Sherlock Jr.,45m,8.1 (65K)
2009,Mary and Max,1h 32m,8.1 (201K)
1978,The Deer Hunter,3h 3m,8.1 (386K)
1953,The Wages of Fear,2h 36m,8.1 (73K)
1926,The General,1h 18m,8.1 (106K)
2017,Logan,2h 17m,8.1 (921K)
1976,Rocky,2h,8.1 (685K)
1939,Mr. Smith Goes to Washington,2h 9m,8.1 (129K)
1953,Tokyo Story,2h 17m,8.1 (77K)
1954,On the Waterfront,1h 48m,8.1 (177K)
2003,Pirates of the Caribbean: The Curse of the Black Pearl,2h 23m,PG-13
1957,Wild Strawberries,1h 32m,8.1 (124K)
2015,Spotlight,2h 9m,8.1 (533K)
2016,A Silent Voice: The Movie,2h 10m,8.2 (139K)
1995,La haine,1h 38m,8.1 (224K)
1984,The Terminator,1h 47m,8.1 (999K)
1965,The Sound of Music,2h 54m,8.1 (290K)
2021,Jai Bhim,2h 44m,8.6 (233K)
1949,The Third Man,1h 44m,8.1 (195K)
2024,Maharaja,2h 21m,8.3 (81K)
1998,The Big Lebowski,1h 57m,8.1 (914K)
1946,The Best Years of Our Lives,2h 50m,8.1 (77K)
1957,The Seventh Seal,1h 36m,8.1 (215K)
2004,Before Sunset,1h 20m,8.1 (313K)
2025,Chainsaw Man - The Movie: Reze Arc,1h 40m,8.3 (49K)
2015,Room,1h 58m,8.1 (479K)
2004,Hotel Rwanda,2h 1m,PG-13
2004,The Incredibles,1h 55m,8.0 (895K)
1986,Platoon,2h,8.1 (471K)
2009,Hachi: A Dog's Tale,1h 33m,8.1 (341K)
1973,The Exorcist,2h 2m,8.1 (496K)
2013,Rush,2h 3m,8.1 (556K)
1999,The Iron Giant,1h 26m,8.1 (258K)
1939,The Wizard of Oz,1h 42m,8.1 (466K)
1986,Stand by Me,1h 29m,8.1 (485K)
1928,The Passion of Joan of Arc,1h 54m,8.1 (68K)
2005,My Father and My Son,1h 52m,8.2 (100K)
1966,The Battle of Algiers,2h 1m,8.1 (75K)
2016,The Handmaiden,2h 25m,8.1 (201K)
1976,Network,2h 1m,8.1 (186K)
2015,Drishyam,2h 43m,8.2 (108K)
2012,Gangs of Wasseypur,5h 21m,8.2 (114K)
1940,The Grapes of Wrath,2h 9m,8.1 (108K)
1942,To Be or Not to Be,1h 39m,8.1 (50K)
